ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,regiao_prof,ugf,LAT,LON
2012,BL212658,Florestal,Coimbra,Pampilhosa da Serra,Pampilhosa da Serra,SOBRAL VALADO,61206,218599,343799,2012-06-29,07:41:00,2012-06-29,09:10:00,2012-06-29,08:00:00,Populares,PT12041006,0.0,0.002,0.0,0.002,0.002,0,0,0,1,0,0,,,630.0,Desconhecida,Beira Litoral,Pinhal Interior Norte,40.0585974,-7.9202099
2012,RO212368,Florestal,Lisboa,Torres Vedras,Carvoeira,Serra de São Julião,111304,110452,236687,2012-02-19,19:50:00,2012-02-19,20:55:00,2012-02-19,20:05:00,Populares,PT13011304,0.0,0.02,0.0,0.02,0.02,0,0,0,1,0,0,,,630.0,Desconhecida,Ribatejo e Oeste,Oeste,39.0862473,-9.167073173503926
2012,BI112244,Florestal,Guarda,Guarda,Mizarela,Brosque,90726,266558,398937,2012-02-18,10:09:00,2012-02-18,16:30:00,2012-02-18,10:10:00,117,PT12080426,2.0,2.0,0.0,4.0,4.0,0,0,0,0,1,0,,SERRA DA ESTRELA,630.0,Desconhecida,Beira Interior,Beira Interior Norte,40.5512208,-7.3374868
2012,DM412272,Florestal,Braga,Fafe,Serafão,LORDELO (M1) (Lordelo),30732,193511,506108,2012-02-20,14:04:00,2012-02-20,15:39:00,2012-02-20,14:30:00,117,PT11030132,0.0,0.004,0.0,0.004,0.004,0,0,0,1,0,0,,,,,Entre Douro e Minho,Baixo Minho,41.5293932,-8.2027837
2012,BI21250,Florestal,Castelo Branco,Covilhã,Unhais da Serra,Sitio as Minas,50325,262977,377518,2012-02-20,14:07:00,2012-02-20,16:05:00,2012-02-20,14:35:00,Outros,PT12100225,0.002,0.007,0.0,0.009,0.009,0,0,0,1,0,0,,,630.0,Desconhecida,Beira Interior,Beira Interior Norte,40.2602096,-7.6238043
2012,BL312110,Florestal,Aveiro,Albergaria-a-Velha,Albergaria-a-Velha,S. Marcos (São Marcos),10201,167553,412409,2012-02-10,09:10:00,2012-02-10,10:10:00,2012-02-10,09:15:00,Outros,PT12010201,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,,,630.0,Desconhecida,Beira Litoral,Centro Litoral,40.690328,-8.479538190307041
2012,RO11263,Florestal,Santarém,Alcanena,Monsanto,Monsanto,140208,149568,276821,2012-02-10,21:13:00,2012-02-11,00:20:00,2012-02-10,21:32:00,Outros,PT13040208,0.0,0.2,0.0,0.2,0.2,0,0,0,1,0,0,,SERRAS DE AIRE E CANDEEIROS,,,Ribatejo e Oeste,Ribatejo,39.4616161,-8.7121712
2012,DM2122246,Florestal,Porto,Gondomar,Fânzeres,RUA DE CABANAS,130402,166900,466499,2012-06-23,23:37:00,2012-06-24,00:57:00,2012-06-23,23:42:00,Outros,PT11040202,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,,,,,Entre Douro e Minho,AMP e Entre Douro e Vouga,41.1679522,-8.5383442
2012,DM212109,Florestal,Porto,Santo Tirso,Guimarei,SERRA DOS CANTONEIROS (Pé da Serra),131410,172097,476429,2012-02-10,19:18:00,2012-02-10,20:41:00,2012-02-10,19:28:00,Populares,PT11030410,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,Entre Douro e Minho,Baixo Minho,41.2999527,-8.4792107
2012,DM212126,Florestal,Porto,Felgueiras,Sendim,LAMELA (Lamelas),130324,195999,491283,2012-02-11,22:25:00,2012-02-12,00:18:00,2012-02-11,22:36:00,Populares,PT11050724,0.0,0.05,0.0,0.05,0.05,0,0,0,1,0,0,,,,,Entre Douro e Minho,Tâmega,41.38328,-8.1805182
2012,BL1121042,Florestal,Viseu,Tarouca,Gouviães,GOUVIÃES,182002,232240,454069,2012-03-21,16:04:00,2012-03-21,17:20:00,2012-03-21,16:18:00,117,PT11071502,0.0,0.05,0.0,0.05,0.05,0,0,0,1,0,0,,,630.0,Desconhecida,Trás-os-Montes,Douro,41.05876335000001,-7.756369296895419
2012,DM2121216,Florestal,Porto,Vila Nova de Gaia,Vilar de Andorinho,RUA BENTO ESPINOSA (Recanto de São Bento),131723,164791,453075,2012-03-21,16:50:00,2012-03-21,17:45:00,2012-03-21,16:55:00,Populares,PT11040923,0.01,0.0,0.0,0.01,0.01,0,0,0,1,0,0,,,,,Entre Douro e Minho,AMP e Entre Douro e Vouga,41.1032455,-8.5767749
2012,DM412869,Florestal,Braga,VIZELA,Caldas de Vizela_Sao Miguel,QUINTA DAS LAMAS (Casa do Quintal),31403,185465,498113,2012-03-21,16:35:00,2012-03-21,17:58:00,2012-03-21,16:45:00,Populares,PT11030703,0.1,0.0,0.0,0.1,0.1,0,0,0,1,0,0,,,,,Entre Douro e Minho,Baixo Minho,41.3728321,-8.313292187069736
2012,DM412859,Florestal,Braga,Fafe,Seidões,VILAR (M6) (Monte de Vilar),30731,196535,503504,2012-03-21,21:09:00,2012-03-22,00:25:00,2012-03-21,21:35:00,Populares,PT11030131,3.7,8.0,0.0,11.7,11.7,0,0,0,0,1,0,,,630.0,Desconhecida,Entre Douro e Minho,Baixo Minho,41.4073018,-8.1205576
2012,DM2121232,Florestal,Porto,Santo Tirso,Couto (Santa Cristina),R. ROQUE (São Roque),131420,171254,484821,2012-03-22,18:30:00,2012-03-22,19:26:00,2012-03-22,18:35:00,Populares,PT11030420,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,,,,,Entre Douro e Minho,Baixo Minho,41.325741,-8.4793533
2012,DM412877,Florestal,Braga,Fafe,Ardegão,POCINHO (Padinho),30704,194736,504385,2012-03-22,16:55:00,2012-03-22,19:30:00,2012-03-22,17:02:00,117,PT11030104,25.0,7.0,0.0,32.0,32.0,0,0,0,0,1,0,,,630.0,Desconhecida,Entre Douro e Minho,Baixo Minho,41.3959676,-8.1318606
2012,RO2121184,Florestal,Lisboa,ODIVELAS,Canecas,Pinhal Verde,111601,105454,205991,2012-06-30,03:36:00,2012-06-30,04:53:00,2012-06-30,04:08:00,Outros,PT13020801,0.0,0.005,0.0,0.005,0.005,0,0,0,1,0,0,,,630.0,Desconhecida,Ribatejo e Oeste,AML,38.8156677,-9.2261015
2012,RO212190,Florestal,Lisboa,Azambuja,Alcoentre,TAGARRO,110301,126477,251720,2012-02-10,14:57:00,2012-02-10,18:37:00,2012-02-10,15:35:00,117,PT13050301,2.0,0.0,0.0,2.0,2.0,0,0,0,0,1,0,,,630.0,Desconhecida,Ribatejo e Oeste,Ribatejo,39.2078257,-8.9572359
2012,DM2121143,Florestal,Porto,Vila Nova de Gaia,Vilar de Andorinho,Rua Várzea (Rua Valdemar dos Santos),131723,161702,454846,2012-03-16,19:05:00,2012-03-16,20:30:00,2012-03-16,19:15:00,Populares,PT11040923,0.0,0.02,0.0,0.02,0.02,0,0,0,1,0,0,,,,,Entre Douro e Minho,AMP e Entre Douro e Vouga,41.1032455,-8.5767749
2012,DM3124,Florestal,Viana do Castelo,Ponte de Lima,Moreira do Lima,Felgueiras,160732,159168,537859,2012-01-10,14:20:00,2012-01-10,15:30:00,2012-01-10,14:39:00,Populares,PT11010732,0.2,0.0,0.0,0.2,0.2,0,0,0,1,0,0,,,,,Entre Douro e Minho,Alto Minho,41.7865624,-8.6247957
