ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,LAT,LON
2008,RO2082641,Florestal,Lisboa,Mafra,Cheleiros,CHELEIROS,110903,96349,214195,2008-11-09,15:30:00,2008-11-09,17:52:00,2008-11-09,15:44:00,Populares,PT13010803,0.0,0.8,0.0,0.8,0.8,0,0,0,1,0,0,,,,,38.897459,-9.2913723
2008,RO2082096,Florestal,Lisboa,ODIVELAS,Caneças,PINHAL VERDE / VALE NOGUEIRA (Pinhal Verde),111601,104669,206505,2008-10-06,18:41:00,2008-10-06,23:12:00,2008-10-06,19:19:00,Populares,PT13020801,3.0,3.0,0.0,6.0,6.0,0,0,0,0,1,0,,,,,38.8165498,-9.221342021551935
2008,RO208269,Florestal,Lisboa,Mafra,Malveira,Lapa,110910,105474,218921,2008-06-09,17:56:00,2008-06-09,20:29:00,2008-06-09,18:10:00,Populares,PT13010810,0.25,0.0,0.0,0.25,0.25,0,0,0,1,0,0,,,,,38.9315563,-9.2523258
2008,RO2082668,Florestal,Lisboa,Loures,Fanhões,R MANUEL DE ALMEIDA RODRIGUES MANTA - FANHÕES (Rua Doutor Manuel Rodrigues),110705,112188,202792,2008-11-14,13:55:00,2008-11-14,14:36:00,2008-11-14,13:57:00,Populares,PT13020405,0.0,0.03,0.0,0.03,0.03,0,0,0,1,0,0,,,,,38.8805246,-9.1541923
2008,RO2082669,Florestal,Lisboa,Torres Vedras,Dois Portos,A-8 S/N KM-32 - FURADOURO (DOIS PORTOS),111305,109191,230469,2008-11-14,15:58:00,2008-11-14,17:06:00,2008-11-14,16:25:00,Populares,PT13011305,0.0,0.02,0.0,0.02,0.02,0,0,0,1,0,0,,,,,39.0425609,-9.184645
2008,RO2082734,Florestal,Lisboa,Sintra,Almargem do Bispo,ARUIL,111103,101892,208325,2008-11-18,18:00:00,2008-11-18,19:40:00,2008-11-18,18:25:00,Populares,PT13020603,0.0,0.08,0.0,0.08,0.08,0,0,0,1,0,0,,,,,38.8389903,-9.256516
2008,RO2082707,Florestal,Lisboa,Arruda dos Vinhos,Arruda dos Vinhos,A DO BAÇO II (A do Baço),110202,110539,223523,2008-11-17,13:10:00,2008-11-17,14:26:00,2008-11-17,13:36:00,Populares,PT13010302,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,38.99119885,-9.062929029605822
2008,RO2082643,Florestal,Lisboa,Vila Franca de Xira,São João dos Montes,TRANCOSO,111407,118589,221083,2008-11-09,17:30:00,2008-11-09,18:36:00,2008-11-09,17:40:00,Populares,PT13020707,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,38.9534953,-9.0721006
2008,RO2082701,Florestal,Lisboa,Loures,Bucelas,CALHANDROS PEQUENOS (BUCELAS),110702,114532,215271,2008-11-16,17:46:00,2008-11-16,19:04:00,2008-11-16,18:00:00,Populares,PT13020402,0.0,0.5,0.0,0.5,0.5,0,0,0,1,0,0,,,,,38.9049103,-9.090637350000003
2008,RO2082674,Florestal,Lisboa,Cadaval,Peral,PERAL,110407,118760,254596,2008-11-15,15:52:00,2008-11-15,17:27:00,2008-11-15,16:10:00,Populares,PT13010507,0.0,0.025,0.0,0.025,0.025,0,0,0,1,0,0,,,,,39.2687639,-9.0810264
2008,RO2082709,Florestal,Lisboa,Loures,Lousa,Fontelas,110708,105667,212588,2008-11-17,14:27:00,2008-11-17,15:52:00,2008-11-17,14:48:00,Populares,PT13020408,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,38.8898108,-9.2059575
2008,RO2082694,Florestal,Lisboa,Sintra,Almargem do Bispo,ALMARGEM (ALMARGEM DO BISPO),111103,100993,209160,2008-11-16,14:34:00,2008-11-16,15:55:00,2008-11-16,15:00:00,Populares,PT13020603,0.0,0.04,0.0,0.04,0.04,0,0,0,1,0,0,,,,,38.8640076,-9.3371894
2008,RO20827,Florestal,Lisboa,Azambuja,Alcoentre,CASAIS DE ALÉM (Casais da Areia),110301,127461,250302,2008-03-04,14:39:00,2008-03-04,19:00:00,2008-03-04,15:15:00,Populares,PT13050301,0.0,3.0,0.0,3.0,3.0,0,0,0,0,1,0,,,,,39.2078257,-8.9572359
2008,RO2082703,Florestal,Lisboa,Sobral de Monte Agraço,Sapataria,ENTRADA DA FETELARIA (SAPATARIA),111202,107232,222418,2008-11-16,21:52:00,2008-11-16,23:36:00,2008-11-16,22:10:00,Populares,PT13011202,0.0,0.5,0.0,0.5,0.5,0,0,0,1,0,0,,,,,38.9711825,-9.175726667883554
2008,RO2082713,Florestal,Lisboa,Arruda dos Vinhos,Santiago dos Velhos,A DO MOURAO (A do Baço),110204,110539,223523,2008-11-17,15:28:00,2008-11-17,17:55:00,2008-11-17,15:42:00,Populares,PT13010304,0.0,0.015,0.0,0.015,0.015,0,0,0,1,0,0,,,,,38.9351566,-9.0879362
2008,RO2082710,Florestal,Lisboa,Loures,Fanhões,BECO DOS CASAIS N2 - CASAINHOS (Bairro dos Forninhos),110705,117781,209384,2008-11-17,14:41:00,2008-11-17,17:54:00,2008-11-17,14:53:00,Populares,PT13020405,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,38.8805246,-9.1541923
2008,RO2082712,Florestal,Lisboa,Torres Vedras,São Pedro da Cadeira,S. PEDRO CADEIRA - MOUGELAS (SÃO PEDRO DA CADEIRA),111314,92816,234338,2008-11-17,15:05:00,2008-11-17,16:33:00,,,Populares,PT13011314,0.0,0.1,0.0,0.1,0.1,0,0,0,1,0,0,,,,,39.0673,-9.37461
2008,RO2082741,Florestal,Lisboa,Sintra,Almargem do Bispo,CSL DO BREJO (DONA MARIA) (Casal do Brejo),111103,102039,205788,2008-11-18,19:35:00,2008-11-18,23:35:00,,,Populares,PT13020603,0.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0,,,,,38.8164499,-9.2549727
2008,RO2082057,Florestal,Lisboa,Arruda dos Vinhos,Arruda dos Vinhos,QTA DA SERRA - CASAL DO LOURO (Quinta da Serra),110202,121311,225955,2008-10-05,17:29:00,2008-10-05,18:48:00,2008-10-05,17:50:00,Populares,PT13010302,0.0,2.0,0.0,2.0,2.0,0,0,0,0,1,0,,,,,38.99119885,-9.062929029605822
2008,RO2082746,Florestal,Lisboa,Azambuja,Alcoentre,TAGARRO,110301,126477,251720,2008-11-19,09:10:00,2008-11-19,10:14:00,2008-11-19,09:20:00,Populares,PT13050301,0.04,0.0,0.0,0.04,0.04,0,0,0,1,0,0,,,,,39.2298864,-8.9848935
2008,RO2082722,Florestal,Lisboa,Cascais,Alcabideche,CRUZ DE POPA (Bairro da Cruz Vermelha),110501,90710,198240,2008-11-18,12:15:00,2008-11-18,12:47:00,,,Populares,PT13020201,0.0,0.002,0.0,0.002,0.002,0,0,0,1,0,0,,,,,38.739751850000005,-9.40823198439682
2008,RO2082728,Florestal,Lisboa,Arruda dos Vinhos,Arruda dos Vinhos,ARRUDA,110202,118235,224478,2008-11-18,16:46:00,2008-11-18,17:37:00,2008-11-18,16:54:00,Populares,PT13010302,0.0,0.01,0.0,0.01,0.01,0,0,0,1,0,0,,,,,38.99119885,-9.062929029605822
